Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
Euro	1	CTE	H1B1G1	0.282	209	0.312	0.274	0.256676999457091	0.308567653756129
Euro	1	DementiaHx	H1B1G1	0.288	203	0.759	0.319	0.0184471281527068	0.0737885126108272
Euro	1	amygdala	H1B1G1	0.282	209	0.646	0.231	0.00565585615309905	0.0207381392280298
Euro	1	CA1	H1B1G1	0.282	209	0.628	0.222	0.00521874984384141	0.0207381392280298
Euro	1	CA2	H1B1G1	0.282	209	0.461	0.224	0.0411611710546957	0.0503080979557392
Euro	1	CA4	H1B1G1	0.282	209	0.505	0.221	0.0235879536511543	0.0503080979557392
Euro	1	entorhinal	H1B1G1	0.282	209	0.686	0.233	0.00363294918773738	0.0207381392280298
Euro	1	inforbfront	H1B1G1	0.282	209	0.471	0.218	0.0322300667750095	0.0503080979557392
Euro	1	infpar	H1B1G1	0.282	209	0.488	0.222	0.0291395851722973	0.0503080979557392
Euro	1	loccoer	H1B1G1	0.282	209	0.123	0.224	0.583760686788591	0.583760686788591
Euro	1	midfront	H1B1G1	0.282	209	0.474	0.227	0.0376367165529676	0.0503080979557392
Euro	1	suptemp	H1B1G1	0.282	209	0.594	0.226	0.00932139670053544	0.0256338409264725
Euro	1	CTEstage	H1B1G1	0.281	208	0.224	0.22	0.308567653756129	0.308567653756129
Euro	1	subnigra	H1B1G1	0.282	209	0.23	0.214	0.28322982207468	0.311552804282148
Euro	1	AT8PositiveTissue.log	H1B1G1	0.282	209	0.375	0.264	0.156639049148833	0.308567653756129
