Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CTE	H1B1G1	0.574	183	0.269	0.333	0.421453040168871	0.421453040168871
All	1	DementiaHx	H1B1G1	0.58	174	1.512	0.455	0.00110481191812029	0.00441924767248116
All	1	amygdala	H1B1G1	0.574	183	0.778	0.291	0.00824235324402811	0.0226664714210773
All	1	CA1	H1B1G1	0.574	183	0.557	0.29	0.0563847293959978	0.0689146692617751
All	1	CA2	H1B1G1	0.574	183	0.861	0.303	0.00505875177288595	0.0226664714210773
All	1	CA4	H1B1G1	0.574	183	0.823	0.303	0.0073184376390043	0.0226664714210773
All	1	entorhinal	H1B1G1	0.574	183	0.91	0.296	0.00247471265794785	0.0226664714210773
All	1	inforbfront	H1B1G1	0.574	183	0.601	0.293	0.0414782686298343	0.065180136418311
All	1	infpar	H1B1G1	0.574	183	0.588	0.295	0.0479747141985429	0.0659652320229965
All	1	loccoer	H1B1G1	0.574	183	0.121	0.284	0.670224220452198	0.670224220452198
All	1	midfront	H1B1G1	0.574	183	0.453	0.288	0.117671645259225	0.129438809785147
All	1	suptemp	H1B1G1	0.574	183	0.62	0.294	0.0363838491147663	0.065180136418311
All	1	CTEstage	H1B1G1	0.571	182	0.411	0.283	0.149264625318667	0.298529250637334
All	1	subnigra	H1B1G1	0.574	183	0.678	0.286	0.0191760937918817	0.0421874063421397
All	1	AT8PositiveTissue.log	H1B1G1	0.574	183	0.394	0.355	0.26874584710294	0.358327796137253
