Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	1	CA2	HLA_A.01	0.19	458	0	0.217	0.998825943195549	0.998825943195549
All	1	CA2	HLA_A.01.01	0.189	458	-0.003	0.217	0.989290464908402	0.998825943195549
All	1	CA2	HLA_A.01.02	0	458	60.263	4.615	0.1917974200762	0.998825943195549
All	1	CA2	HLA_A.02	0.266	458	0.146	0.172	0.394513507259422	0.998825943195549
All	1	CA2	HLA_A.02.01	0.247	458	0.101	0.178	0.572819010463271	0.998825943195549
All	1	CA2	HLA_A.02.02	0.002	458	-0.248	1.077	0.818036006011354	0.998825943195549
All	1	CA2	HLA_A.02.05	0.012	458	0.49	0.65	0.452342242270088	0.998825943195549
All	1	CA2	HLA_A.02.06	0.003	458	-0.992	1.333	0.457289388489797	0.998825943195549
All	1	CA2	HLA_A.03	0.141	458	0.141	0.202	0.484697228341751	0.998825943195549
All	1	CA2	HLA_A.03.01	0.138	458	0.167	0.206	0.416994992329414	0.998825943195549
All	1	CA2	HLA_A.03.02	0.001	458	-2.575	2.212	0.244982514105258	0.998825943195549
All	1	CA2	HLA_A.11	0.073	458	-0.11	0.261	0.674528180864123	0.998825943195549
All	1	CA2	HLA_A.11.01	0.071	458	-0.097	0.266	0.716893394085663	0.998825943195549
All	1	CA2	HLA_A.23	0.02	458	0.713	0.499	0.153714885410207	0.998825943195549
All	1	CA2	HLA_A.23.01	0.02	458	0.719	0.502	0.152716851810357	0.998825943195549
All	1	CA2	HLA_A.24	0.065	458	-0.311	0.262	0.23727262393463	0.998825943195549
All	1	CA2	HLA_A.24.02	0.063	458	-0.297	0.267	0.267032370682876	0.998825943195549
All	1	CA2	HLA_A.25	0.03	458	-0.71	0.45	0.11582558849479	0.998825943195549
All	1	CA2	HLA_A.25.01	0.03	458	-0.711	0.45	0.115276955886348	0.998825943195549
All	1	CA2	HLA_A.26	0.023	458	-0.384	0.502	0.445252784696454	0.998825943195549
All	1	CA2	HLA_A.26.01	0.022	458	-0.233	0.509	0.647507831402255	0.998825943195549
All	1	CA2	HLA_A.29	0.039	458	0.193	0.361	0.593016615741526	0.998825943195549
All	1	CA2	HLA_A.29.01	0.004	458	2.177	1.241	0.0801091720948641	0.998825943195549
All	1	CA2	HLA_A.29.02	0.035	458	-0.019	0.379	0.960693234825574	0.998825943195549
All	1	CA2	HLA_A.30	0.024	458	0.073	0.419	0.861577552236013	0.998825943195549
All	1	CA2	HLA_A.30.01	0.012	458	0.768	0.584	0.189567235159432	0.998825943195549
All	1	CA2	HLA_A.30.02	0.009	458	-0.58	0.698	0.406196405528666	0.998825943195549
All	1	CA2	HLA_A.30.04	0.003	458	-0.443	0.97	0.647839768442763	0.998825943195549
All	1	CA2	HLA_A.31	0.03	458	0.229	0.378	0.544119532219025	0.998825943195549
All	1	CA2	HLA_A.31.01	0.029	458	0.223	0.379	0.556988255154212	0.998825943195549
All	1	CA2	HLA_A.32	0.036	458	-0.413	0.372	0.268867992331528	0.998825943195549
All	1	CA2	HLA_A.32.01	0.035	458	-0.444	0.357	0.214934446532613	0.998825943195549
All	1	CA2	HLA_A.33.03	0.003	458	2596.265	4844.507	0.996482488874913	0.998825943195549
All	1	CA2	HLA_A.34	0.003	458	0.648	1.064	0.543034409797175	0.998825943195549
All	1	CA2	HLA_A.34.02	0.003	458	0.648	1.064	0.543034409797175	0.998825943195549
All	1	CA2	HLA_A.36	0.001	458	0.615	1.517	0.685501604565541	0.998825943195549
All	1	CA2	HLA_A.36.01	0.001	458	0.629	1.518	0.678645611741137	0.998825943195549
All	1	CA2	HLA_A.66	0.003	458	1.232	1.342	0.35928519743147	0.998825943195549
All	1	CA2	HLA_A.66.01	0.003	458	1.242	1.343	0.355579021938273	0.998825943195549
All	1	CA2	HLA_A.68	0.047	458	-0.33	0.3	0.272359950199598	0.998825943195549
All	1	CA2	HLA_A.68.01	0.04	458	-0.434	0.324	0.181576620853534	0.998825943195549
All	1	CA2	HLA_A.68.02	0.006	458	0.288	0.742	0.69837908907779	0.998825943195549
All	1	CA2	HLA_A.74	0.002	458	-887.693	19.252	0.992054106806581	0.998825943195549
All	1	CA2	HLA_A.74.01	0.001	458	-11.809	0.083	0.990933268077238	0.998825943195549
All	1	CA2	HLA_B.07	0.13	458	-0.088	0.241	0.713249828531662	0.998825943195549
All	1	CA2	HLA_B.07.02	0.123	458	-0.001	0.252	0.996592794642611	0.998825943195549
All	1	CA2	HLA_B.07.05	0.006	458	-1.047	0.849	0.218212121561487	0.998825943195549
All	1	CA2	HLA_B.08	0.134	458	-0.068	0.291	0.814600796273754	0.998825943195549
All	1	CA2	HLA_B.08.01	0.134	458	-0.08	0.291	0.783048956847105	0.998825943195549
All	1	CA2	HLA_B.13	0.028	458	0.22	0.333	0.508520634506815	0.998825943195549
All	1	CA2	HLA_B.13.02	0.028	458	0.21	0.334	0.529048717535705	0.998825943195549
All	1	CA2	HLA_B.14	0.033	458	0.404	0.364	0.268224002040018	0.998825943195549
All	1	CA2	HLA_B.14.01	0.013	458	0.154	0.608	0.799744915399237	0.998825943195549
All	1	CA2	HLA_B.14.02	0.02	458	0.521	0.457	0.255689561870799	0.998825943195549
All	1	CA2	HLA_B.15	0.06	458	-0.511	0.287	0.0760020640196895	0.998825943195549
All	1	CA2	HLA_B.15.01	0.049	458	-0.56	0.31	0.0714662213448225	0.998825943195549
All	1	CA2	HLA_B.15.03	0.002	458	-64.339	3.694	0.956605216931848	0.998825943195549
All	1	CA2	HLA_B.15.16	0	458	-13561.68	119.306	0.991159386847115	0.998825943195549
All	1	CA2	HLA_B.15.17	0.004	458	-0.924	1.14	0.418065622112902	0.998825943195549
All	1	CA2	HLA_B.18	0.06	458	0.247	0.254	0.331703520469193	0.998825943195549
All	1	CA2	HLA_B.18.01	0.059	458	0.236	0.256	0.357189021787483	0.998825943195549
All	1	CA2	HLA_B.18.03	0	458	-9.211	0.443	6.07783112727134e-09	1.68355922225416e-06
