Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	Batch
Euro	1	CTE	rs6910507	0.134	312	0.254	0.662	0.701497565023294	II
Euro	1	DementiaHx	rs6910507	0.134	294	0.801	0.819	0.328426479845739	II
Euro	1	amygdala	rs6910507	0.134	312	1.071	0.299	0.000404901268715285	II
Euro	1	CA1	rs6910507	0.134	312	1.118	0.344	0.00131180164821876	II
Euro	1	CA2	rs6910507	0.134	312	1.973	0.275	2.61457078210015e-10	II
Euro	1	CA4	rs6910507	0.134	312	0.911	0.348	0.00941309228603915	II
Euro	1	entorhinal	rs6910507	0.134	312	0.854	0.406	0.0361837476005358	II
Euro	1	inforbfront	rs6910507	0.134	312	1.178	0.262	1.03066988019762e-05	II
Euro	1	infpar	rs6910507	0.134	312	0.262	0.295	0.374836679680045	II
Euro	1	loccoer	rs6910507	0.134	312	0.533	0.553	0.336250027870058	II
Euro	1	midfront	rs6910507	0.134	312	0.754	0.299	0.0123336755777654	II
Euro	1	suptemp	rs6910507	0.134	312	1.005	0.259	0.00012738522119804	II
Euro	1	CTEstage	rs6910507	0.133	311	0.167	0.327	0.609873103950463	II
Euro	1	subnigra	rs6910507	0.134	312	0.42	0.331	0.205165057763671	II
Euro	1	AT8PositiveTissue.log	rs6910507	0.134	312	0.915	0.71	0.198553659112633	II
Euro	1	HipCA23.log	rs6910507	0.134	312	1.511	0.763	0.0490014875971383	II
