Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	A1	A2
Euro	1	CTE	H1B1G1	0.306	160	0.068	0.32	0.831329536784251	A	T
Euro	1	DementiaHx	H1B1G1	0.312	154	1.012	0.414	0.0157698442681076	A	T
Euro	1	amygdala	H1B1G1	0.306	160	1.001	0.296	0.000940257430084301	A	T
Euro	1	CA1	H1B1G1	0.306	160	0.682	0.283	0.0171408607223691	A	T
Euro	1	CA2	H1B1G1	0.306	160	0.695	0.294	0.0195341582393498	A	T
Euro	1	CA4	H1B1G1	0.306	160	0.813	0.293	0.00622638958053168	A	T
Euro	1	entorhinal	H1B1G1	0.306	160	0.997	0.3	0.00112962739210443	A	T
Euro	1	inforbfront	H1B1G1	0.306	160	0.706	0.284	0.0139914502307423	A	T
Euro	1	infpar	H1B1G1	0.306	160	0.675	0.288	0.0204850574678956	A	T
Euro	1	loccoer	H1B1G1	0.306	160	-0.039	0.285	0.892362011194955	A	T
Euro	1	midfront	H1B1G1	0.306	160	0.594	0.285	0.038744611481309	A	T
Euro	1	suptemp	H1B1G1	0.306	160	0.693	0.283	0.0156730803571514	A	T
Euro	1	CTEstage	H1B1G1	0.305	159	0.185	0.281	0.510888643279492	A	T
Euro	1	subnigra	H1B1G1	0.306	160	0.746	0.278	0.00815838574330363	A	T
Euro	1	AT8PositiveTissue.log	H1B1G1	0.306	160	0.564	0.363	0.122710095799448	A	T
