Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	Batch
Euro	1	CTE	rs6910507	0.132	190	0	146411.157	0.999999999989676	II
Euro	1	DementiaHx	rs6910507	0.128	180	0.365	1.092	0.738369769134098	II
Euro	1	amygdala	rs6910507	0.132	190	0.828	0.312	0.00875195118511707	II
Euro	1	CA1	rs6910507	0.132	190	0.677	0.318	0.0352433185644401	II
Euro	1	CA2	rs6910507	0.132	190	2.323	0.352	7.11967640398825e-09	II
Euro	1	CA4	rs6910507	0.132	190	0.954	0.311	0.00263157359864863	II
Euro	1	entorhinal	rs6910507	0.132	190	1.047	0.335	0.00210870060229729	II
Euro	1	inforbfront	rs6910507	0.132	190	0.65	0.336	0.0547995120137528	II
Euro	1	infpar	rs6910507	0.132	190	-0.478	0.316	0.132479831716576	II
Euro	1	loccoer	rs6910507	0.132	190	-0.555	0.369	0.138670949669561	II
Euro	1	midfront	rs6910507	0.132	190	0.373	0.301	0.218243612509691	II
Euro	1	suptemp	rs6910507	0.132	190	1.068	0.317	0.000936021566704692	II
Euro	1	CTEstage	rs6910507	0.13	189	1.114	0.319	0.000602765741158695	II
Euro	1	subnigra	rs6910507	0.132	190	-0.386	0.307	0.210499442897919	II
Euro	1	AT8PositiveTissue.log	rs6910507	0.132	190	-0.078	0.824	0.92457079740698	II
Euro	1	HipCA23.log	rs6910507	0.132	190	1.224	0.816	0.136179837533501	II
